area_id|area_name|country_code
1|World|
2|Asia|
8|Afghanistan|AFG
19|Australia|AUS
23|Bahrain|BHR
24|Bangladesh|BAN
31|Bhutan|BHU
37|Brunei Darussalam|BRU
41|Cambodia|CAM
49|China PR|CHN
50|Chinese Taipei|TPE
84|Guam|GUM
91|Hong Kong|HKG
94|India|IND
95|Indonesia|IDN
96|Iran|IRN
97|Iraq|IRQ
102|Japan|JPN
103|Jordan|JOR
106|Korea DPR|PRK
107|Korea Republic|KOR
108|Kuwait|KUW
109|Kyrgyzstan|KGZ
110|Laos|LAO
112|Lebanon|LIB
119|Macao|MAC
123|Malaysia|MAS
124|Maldives|MDV
131|Mongolia|MGL
135|Myanmar|MYA
137|Nepal|NEP
147|Oman|OMA
148|Pakistan|PAK
149|Palestine|PAL
154|Philippines|PHI
158|Qatar|QAT
164|Saudi Arabia|KSA
170|Singapore|SIN
177|Sri Lanka|SRI
186|Syria|SYR
189|Tajikistan|TJK
191|Thailand|THA
197|Turkmenistan|TKM
202|United Arab Emirates|UAE
205|Uzbekistan|UZB
208|Vietnam|VIE
210|Yemen|YEM
221|East Timor|EAT
251|Northern Mariana Islands|NMI
3|Africa|
10|Algeria|ALG
13|Angola|ANG
29|Benin|BEN
34|Botswana|BOT
39|Burkina Faso|BFA
40|Burundi|BDI
42|Cameroon|CMR
44|Cape Verde Islands|CPV
46|Central African Republic|CTA
47|Chad|CHA
52|Congo|CGO
53|Congo DR|COD
60|Côte d'Ivoire|CIV
62|Djibouti|DJI
66|Egypt|EGY
69|Equatorial Guinea|EQG
70|Eritrea|ERI
72|Ethiopia|ETH
77|Gabon|GAB
78|Gambia|GAM
81|Ghana|GHA
86|Guinea|GUI
87|Guinea-Bissau|GNB
105|Kenya|KEN
113|Lesotho|LES
114|Liberia|LBR
115|Libya|LBY
121|Madagascar|MAD
122|Malawi|MWI
125|Mali|MLI
127|Mauritania|MTN
128|Mauritius|MRI
133|Morocco|MAR
134|Mozambique|MOZ
136|Namibia|NAM
143|Niger|NIG
144|Nigeria|NGA
161|Rwanda|RWA
166|Senegal|SEN
168|Seychelles|SEY
169|Sierra Leone|SLE
174|Somalia|SOM
175|South Africa|RSA
181|Sudan|SUD
183|Swaziland|SWZ
187|São Tomé e Príncipe|STP
190|Tanzania|TAN
192|Togo|TOG
195|Tunisia|TUN
200|Uganda|UGA
211|Zambia|ZAM
212|Zimbabwe|ZIM
220|Zanzibar|ZAN
223|Reunion|REU
232|Comoros|CMO
255|Mayotte|MYT
256|South Sudan|SSD
4|N/C America|
14|Anguilla|AIA
15|Antigua and Barbuda|ATG
18|Aruba|ABW
22|Bahamas|BHS
25|Barbados|BRB
28|Belize|BLZ
30|Bermuda|BMU
36|British Virgin Islands|BVI
43|Canada|CAN
45|Cayman Islands|CYM
55|Costa Rica|CRI
57|Cuba|CUB
63|Dominica|DMA
64|Dominican Republic|DOM
67|El Salvador|SLV
83|Grenada|GRD
85|Guatemala|GTM
88|Guyana|GUY
89|Haiti|HTI
90|Honduras|HND
101|Jamaica|JAM
129|Mexico|MEX
132|Montserrat|MSR
139|Curaçao|CUR
142|Nicaragua|NIC
150|Panama|PAN
157|Puerto Rico|PRI
178|St. Kitts and Nevis|SKN
179|St. Lucia|STL
